127.0.0.1 - - [08/Apr/2022:12:10:45 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:46 +0530] "GET /ORSProject4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:10:46 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:11:26 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:11:26 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:11:26 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:11:26 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:11:26 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:11:26 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:13:11 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:53:15 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [08/Apr/2022:12:55:01 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [08/Apr/2022:14:57:16 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:34:32 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:34:32 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:34:48 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:36:15 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:36:15 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:39:50 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:17:39:51 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [08/Apr/2022:18:44:19 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [08/Apr/2022:18:48:30 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [08/Apr/2022:18:49:49 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [08/Apr/2022:18:53:59 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:00:58 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:01:31 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3253
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:08:04 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:09:54 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:09:58 +0530] "POST /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2456
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:10:01 +0530] "POST /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2470
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:10:16 +0530] "POST /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:15:39 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:15:46 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:16:10 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:16:52 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:16:52 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/MarksheetListCtl HTTP/1.1" 200 11480
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/MarksheetListCtl HTTP/1.1" 200 11480
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/js/jquery.min.js HTTP/1.1" 200 86275
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/js/CheckBox.js HTTP/1.1" 200 301
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/service/permission.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/userRegistration.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/service/user.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/userMaster.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/app.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/route.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/welcome.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/editMyProfile.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/forgetMyPassword.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/changeMyPassword.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/login.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/role.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/message.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [08/Apr/2022:19:17:56 +0530] "GET /ORSProject4/ctl/ang/controller/notification.js HTTP/1.1" 404 805
