127.0.0.1 - - [27/Apr/2022:16:37:10 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:13 +0530] "GET /ORSProject4/jsp/Header.jsp HTTP/1.1" 200 1012
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:13 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:13 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:14 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:14 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:14 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 200 37154
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:14 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:14 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:37:18 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:41:25 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:41:25 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [27/Apr/2022:16:41:34 +0530] "GET /ORSProject4/LoginCtl?operation=Logout HTTP/1.1" 200 3226
