127.0.0.1 - - [15/Apr/2022:16:42:39 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:42:41 +0530] "GET /ORSProject4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:42:41 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:44:49 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:44:49 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:44:49 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:44:49 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:44:49 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:44:49 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:45:58 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:47:43 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:53:39 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:16:53:39 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:34:38 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:34:38 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:58 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 3060
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:58 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 200 165382
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:58 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 200 5392
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:58 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 200 33775
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:58 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:58 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:58 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 200 37154
0:0:0:0:0:0:0:1 - - [15/Apr/2022:17:43:59 +0530] "GET /ORSProject4/img/logo.png HTTP/1.1" 200 19649
