127.0.0.1 - - [01/Apr/2022:12:28:07 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:28:08 +0530] "GET /ORSProject4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:28:09 +0530] "GET /ORSProject4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:33:35 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:33:35 +0530] "GET /ORSProject4/css/angular-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:33:36 +0530] "GET /ORSProject4/js/angular-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:33:36 +0530] "GET /ORSProject4/js/angular-locale_en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:33:36 +0530] "GET /ORSProject4/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:33:36 +0530] "GET /ORSProject4/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:36:55 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:40:09 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:40:18 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:40:24 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:41:29 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3256
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:43:13 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:43:15 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:43:17 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:43:21 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:44:00 +0530] "GET /ORSProject4/ForgetPasswordCtl HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:47:53 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:47:55 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:47:56 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 3236
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:47:57 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:47:57 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:49:36 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 3208
0:0:0:0:0:0:0:1 - - [01/Apr/2022:12:55:29 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 1606
